año,departamento,n,poblacion,tasa_100K
2023,ANCASH,3,1203622,0.24924768739687378
2023,AREQUIPA,3,1578244,0.1900846763871746
2023,CAJAMARCA,2,1462967,0.13670848351329867
2023,CALLAO,54,1190504,4.53589404151519
2023,HUANUCO,2,759307,0.26339807218950967
2023,ICA,29,1038328,2.792951745498532
2023,JUNIN,3,1382377,0.21701749956777347
2023,LA LIBERTAD,17,2107450,0.8066620797646444
2023,LIMA,185,11170333,1.656172649463539
2023,MADRE DE DIOS,6,191400,3.134796238244514
2023,PASCO,1,271173,0.3687682770777327
2023,PIURA,9,2130677,0.42240095518936
2023,PUNO,25,1219625,2.0498103925386904
2023,SAN MARTIN,1,940143,0.10636679739146065
2023,SIN REGISTRO,6,NA,NA
2023,TUMBES,2,263123,0.7601007893646697
2023,UCAYALI,8,630485,1.2688644456251934
2024,AMAZONAS,2,435039,0.4597288978689267
2024,ANCASH,11,1201463,0.9155504580665406
2024,APURIMAC,2,434930,0.4598441128457453
2024,AREQUIPA,2,1594091,0.12546335184126878
2024,AYACUCHO,1,681871,0.14665530576897975
2024,CALLAO,71,1200483,5.914286166484657
2024,CUSCO,1,1408034,0.07102101227669218
2024,HUANUCO,2,772019,0.2590609816597778
2024,ICA,17,1070997,1.5873060335369753
2024,JUNIN,5,1401732,0.35670156634791816
2024,LA LIBERTAD,10,2168372,0.46117548095990907
2024,LAMBAYEQUE,5,1370389,0.36485990474237606
2024,LIMA,216,11252320,1.9196041349694997
2024,LORETO,2,1046452,0.19112200081800215
2024,MADRE DE DIOS,13,195670,6.643839116880462
2024,PASCO,5,264257,1.8920974657246543
2024,PIURA,5,2138443,0.23381497659745898
2024,PUNO,6,1204994,0.49792779051181996
2024,SAN MARTIN,1,968597,0.10324211204453451
2024,SIN REGISTRO,3,NA,NA
2024,TACNA,1,400054,0.24996625455563498
2024,TUMBES,3,265844,1.1284813650110592
2024,UCAYALI,4,641134,0.623894536867488
2025,AMAZONAS,5,437633,1.1425098198719017
2025,ANCASH,17,1194166,1.4235876754153107
2025,APURIMAC,2,419749,0.4764752268617674
2025,AREQUIPA,1,1662314,0.06015710629880997
2025,AYACUCHO,4,672090,0.5951583865256141
2025,CAJAMARCA,5,1448843,0.3451029545644352
2025,CALLAO,71,1227663,5.783346081131385
2025,CUSCO,2,1390926,0.14378910164882963
2025,HUANCAVELICA,1,323862,0.30877348994324744
2025,HUANUCO,6,739189,0.8117003905631712
2025,ICA,21,1065434,1.9710277689655107
2025,LA LIBERTAD,14,2162104,0.6475174182185501
2025,LAMBAYEQUE,8,1373645,0.5823921027630865
2025,LIMA,166,11447956,1.4500405137825478
2025,LORETO,3,1067617,0.28099964687711043
2025,MADRE DE DIOS,18,211846,8.496738196614523
2025,PASCO,1,264467,0.37811900917694835
2025,PIURA,12,2188847,0.5482338418354503
2025,PUNO,5,1218603,0.4103058994602836
2025,SAN MARTIN,1,941669,0.10619442712885313
2025,SIN REGISTRO,3,NA,NA
2025,TACNA,1,401726,0.24892588480705755
2025,TUMBES,1,309153,0.323464433468218
2025,UCAYALI,3,644073,0.4657857106259694
